ctr : 280  | I: ff17 | Q: ff41
ctr : 281  | I: fee3 | Q: ff4b
ctr : 282  | I: fec7 | Q: ff6c
ctr : 283  | I: fecc | Q: ff99
ctr : 284  | I: feba | Q: ffad
ctr : 285  | I: fea6 | Q: ffe8
ctr : 286  | I: feb1 | Q: fff1
ctr : 287  | I: feda | Q: ffe8
ctr : 288  | I: fecb | Q: 002e
ctr : 289  | I: fed7 | Q: 0044
ctr : 290  | I: feca | Q: 0058
ctr : 291  | I: fec2 | Q: 006c
ctr : 292  | I: feed | Q: 008f
ctr : 293  | I: fef2 | Q: 00b8
ctr : 294  | I: ff25 | Q: 00ea
ctr : 295  | I: ff26 | Q: 00fd
ctr : 296  | I: ff70 | Q: 00dc
ctr : 297  | I: ff51 | Q: 0108
ctr : 298  | I: ff96 | Q: 0128
ctr : 299  | I: 0076 | Q: fee7
ctr : 300  | I: 005d | Q: fec5
ctr : 301  | I: ffe2 | Q: 011b
ctr : 302  | I: ffef | Q: 013c
ctr : 303  | I: 001f | Q: 012a
ctr : 304  | I: 005d | Q: 012b
ctr : 305  | I: 0073 | Q: 0113
ctr : 306  | I: 0068 | Q: 0102
ctr : 307  | I: 0094 | Q: 0118
ctr : 308  | I: 009b | Q: 00f6
ctr : 309  | I: 00b6 | Q: 00e1
ctr : 310  | I: 00d0 | Q: 00d4
ctr : 311  | I: 00eb | Q: 00ae
ctr : 312  | I: 0117 | Q: 0087
ctr : 313  | I: 0115 | Q: 0055
ctr : 314  | I: 0121 | Q: 002f
ctr : 315  | I: 010f | Q: 004d
ctr : 316  | I: 0126 | Q: 003e
ctr : 317  | I: 00eb | Q: 000a
ctr : 318  | I: 0122 | Q: ffcf
ctr : 319  | I: 010b | Q: ffc2
ctr : 320  | I: 0117 | Q: ffaf
ctr : 321  | I: 00ef | Q: ff99
ctr : 322  | I: 00f6 | Q: ffa4
ctr : 323  | I: 00d7 | Q: ff67
ctr : 324  | I: 00d7 | Q: ff4d
ctr : 325  | I: 009c | Q: ff45
ctr : 326  | I: 00ac | Q: ff3a
ctr : 327  | I: 0087 | Q: ff3d
ctr : 328  | I: 0057 | Q: ff3a
ctr : 329  | I: 004a | Q: ff33
ctr : 330  | I: 002f | Q: ff33
ctr : 331  | I: 004f | Q: ff22
ctr : 332  | I: 003c | Q: ff37
